tetto,roof
soffitta,attic
muro,wall
lavatrice,washing machine
lavandino (bagno),washbasin
gabinetto,toilet
scrivania,desk
libreria,bookcase
doccia,shower
specchio,mirror
poster,poster
vasca da bagno,bathtub
letto singolo,single bed
cuscino,pillow
lampada,lamp
comodino,bedside table
letto matrimoniale,double bed
mensola,shelf
armadio,wardrobe
tenda,curtain
finestra,window
tavolo,table
sedia,chair
cassettiera,chest of drawers
scale,stairs
lavandino (cucina),sink
armadietto,cupboard
fornello a gas,gas cooker
congelatore,freezer
frigorifero,fridge
lavastoviglie,dishwasher
balcone,balcony
forno,oven
soffitto,ceiling
porta,door
zerbino,mat
pavimento,floor
televisione,television
tappeto,carpet
tavolino,coffee table
divano,sofa
cuscino (divano),cushion
poltrona,armchair
tappetino,rug
appartamento,flat
villetta,house
condominio,block of flats
cantina,cellar
giardino,garden
prato,lawn
aria condizionata,aria-conditioning
letti a castello,bunk beds
riscaldamento centralizzato,central heating
asciugatrice,dryer
piumino,duvet
persiane,shutters
allarme anti-incendio,smoke alarm